text	size
music	3
n5	3
n6	3
namazon	3
namely	3
narrative	3
native	3
ndouglass	3
nearly	3
neck	3
negotiations	3
nha	3
nhis	3
nightmare	3
nin	3
njerry	3
nkelly	3
nmoonbat	3
note	3
notes	3
noth	3
nplease	3
nremember	3
nrepublican	3
nsa	3
nwe	3
nytimes	3
obamacare	3
obsessing	3
obviously	3
openly	3
opinion	3
ordered	3
oval	3
owes	3
owner	3
parkland	3
passed	3
passionate	3
patrol	3
peaceful	3
pentagon	3
per	3
planet	3
politics	3
practices	3
prayer	3
pregnant	3
price	3
priority	3
proclamation	3
products	3
progressive	3
prominent	3
promised	3
prompted	3
protection	3
publicly	3
pull	3
pulls	3
punish	3
purse	3
puts	3
putting	3
q	3
quietly	3
race	3
raised	3
rant	3
rapidly	3
rapist	3
realize	3
rearrange	3
regardless	3
renegotiating	3
resigning	3
respect	3
rex	3
rickyvaughn99	3
ride	3
ridicules	3
road	3
rod	3
room	3
round	3
rt	3
ruin	3
safe	3
sanctions	3
saudi	3
scam	3
schumer	3
screwed	3
script	3
second	3
secretary	3
secure	3
seeing	3
seem	3
segment	3
sent	3
served	3
several	3
sex	3
shady	3
shirt	3
shut	3
sign	3
situation	3
slapping	3
slimy	3
smart	3
somebody	3
sorry	3
sort	3
specific	3
ss	3
stars	3
statements	3
stationing	3
stellar	3
stick	3
stigmatized	3
strip	3
students	3
suggests	3
supports	3
sworn	3
taxpayer	3
te	3
teachers	3
thai	3
thanking	3
thei	3
thickens	3
thoughts	3
thousands	3
thre	3
thursdaythoughts	3
titanic	3
tolerate	3
touch	3
tougher	3
trashing	3
traveling	3
treasonous	3
treat	3
trip	3
trolls	3
trumprussia	3
trumptrain	3
ukraines	3
un	3
unanimous	3
uncovered	3
underestimate	3
understands	3
unfit	3
unhinged	3
unmasked	3
unnecessary	3
users	3
ustr	3
utter	3
valid	3
value	3
violent	3
vladimir	3
wakin	3
wasted	3
wasteful	3
ways	3
wear	3
wearing	3
wears	3
whose	3
withdrawal	3
wives	3
words	3
worried	3
worry	3
worships	3
worth	3
wrangle	3
yep	3
young	3
00	2
16	2
18	2
1st	2
2000	2
2008	2
2010	2
24	2
25	2
30	2
40	2
4000	2
47	2
6ix9ine	2
70	2
83	2
9m	2
aboard	2
abused	2
accusing	2
actively	2
adding	2
adelson	2
admitted	2
advisor	2
advisors	2
afternoon	2
ahead	2
aired	2
airport	2
alan	2
aleins	2
alive	2
allegations	2
almost	2
amendment	2
amounts	2
anchors	2
anderson	2
angry	2
answer	2
anyway	2
ap	2
appe	2
appointed	2
appointees	2
approves	2
arabia	2
argue	2
army	2
arrogant	2
art	2
articles	2
artillery	2
artist	2
ask	2
aspect	2
assets	2
assist	2
attempts	2
az	2
baby	2
backed	2
baio	2
ban	2
barack	2
basketball	2
becoming	2
began	2
behind	2
beijings	2
besmi	2
betting	2
biased	2
bidding	2
biden	2
bigly	2
birther	2
blackmail	2
blame	2
blew	2
bloc	2
blocking	2
blocks	2
bloomberg	2
boarding	2
bolster	2
bomb	2
books	2
borowitz	2
bosnia	2
bot	2
bots	2
brand	2
briefing	2
brilliant	2
broadcasts	2
budget	2
buildings	2
buildthewall	2
bullet	2
bully	2
bureau	2
burrow	2
businesses	2
canyon	2
cases	2
cast	2
cat	2
catastrophe	2
catastrophic	2
categorically	2
cavaliers	2
celebrating	2
censorship	2
chairman	2
challenged	2
charged	2
choice	2
christians	2
chuckle	2
chucky	2
church	2
circus	2
citizensh	2
civil	2
clean	2
climate	2
clip	2
closes	2
clothing	2
cloud	2
coalition	2
colleague	2
colleagues	2
color	2
comeback	2
communist	2
communities	2
community	2
compares	2
competition	2
complaint	2
complaints	2
complete	2
conception	2
concern	2
condemn	2
conduct	2
conflicts	2
consulting	2
consumers	2
controversy	2
corbett	2
corey	2
corporate	2
cost	2
couldnt	2
council	2
countries	2
county	2
courts	2
crazy	2
creation	2
crimes	2
crisis	2
criterion	2
crook	2
crooked	2
cross	2
crowd	2
crown	2
cuz	2
daddy	2
damn	2
damned	2
dare	2
daring	2
daughter	2
dealers	2
dear	2
decided	2
decision	2
defeat	2
defence	2
define	2
defini	2
definitely	2
delivers	2
demeanor	2
democratsnever	2
dennison	2
deploying	2
depression	2
dept	2
deputy	2
dershowitz	2
desperately	2
detailing	2
died	2
difference	2
difficulty	2
dignity	2
dime	2
direct	2
dirt	2
discloses	2
discussion	2
disregard	2
dissent	2
district	2
divine	2
division	2
divorce	2
docs	2
documents	2
donaldtrump	2
dotard	2
